    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         1.020670e+03         1.020670e+03         0.000000e+00
           2         9.230325e+02         9.718514e+02         3.452016e+01
           3         8.242192e+02         9.226407e+02         4.630422e+01
           4         9.567088e+02         9.311577e+02         3.550282e+01
           5         9.019785e+02         9.253219e+02         2.887791e+01
           6         9.118085e+02         9.230696e+02         2.415259e+01
           7         9.122335e+02         9.215216e+02         2.075177e+01
           8         9.224378e+02         9.216361e+02         1.815812e+01
           9         9.239212e+02         9.218900e+02         1.614232e+01
          10         9.337645e+02         9.230775e+02         1.457170e+01
          11         1.013930e+03         9.313368e+02         1.541098e+01
          12         9.016395e+02         9.288620e+02         1.432406e+01
          13         9.860670e+02         9.332624e+02         1.388167e+01
          14         1.014694e+03         9.390790e+02         1.405600e+01
          15         9.578278e+02         9.403289e+02         1.317439e+01
          16         9.079303e+02         9.383040e+02         1.250564e+01
          17         9.692358e+02         9.401235e+02         1.190164e+01
          18         9.800168e+02         9.423398e+02         1.144493e+01
          19         8.565377e+02         9.378239e+02         1.169963e+01
          20         8.571588e+02         9.337906e+02         1.178937e+01
