    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         2.893129e+02         2.893129e+02         0.000000e+00
           2         3.280833e+02         3.086981e+02         1.370739e+01
           3         2.970200e+02         3.048054e+02         9.675221e+00
           4         3.052527e+02         3.049172e+02         7.257062e+00
           5         3.004376e+02         3.040213e+02         5.860691e+00
           6         2.995755e+02         3.032803e+02         4.930528e+00
           7         3.170456e+02         3.052468e+02         4.601638e+00
           8         3.109011e+02         3.059536e+02         4.080351e+00
           9         3.007978e+02         3.053807e+02         3.666972e+00
          10         3.048080e+02         3.053235e+02         3.300722e+00
          11         2.909936e+02         3.040207e+02         3.247571e+00
          12         2.971649e+02         3.034494e+02         3.026777e+00
          13         3.049089e+02         3.035617e+02         2.796029e+00
          14         2.883982e+02         3.024786e+02         2.798244e+00
          15         3.123164e+02         3.031344e+02         2.687455e+00
          16         3.055271e+02         3.032840e+02         2.523646e+00
          17         2.825320e+02         3.020633e+02         2.654058e+00
          18         3.048802e+02         3.022198e+02         2.511219e+00
          19         2.963447e+02         3.019106e+02         2.398012e+00
          20         3.010069e+02         3.018654e+02         2.278537e+00
