    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         9.450518e+01         9.450518e+01         0.000000e+00
           2         9.703200e+01         9.576859e+01         8.933670e-01
           3         9.556271e+01         9.569996e+01         5.982082e-01
           4         9.701953e+01         9.602985e+01         5.318965e-01
           5         9.919012e+01         9.666191e+01         7.075717e-01
           6         9.732035e+01         9.677165e+01         5.980927e-01
           7         9.435506e+01         9.642642e+01         6.041246e-01
           8         9.731988e+01         9.653810e+01         5.388334e-01
           9         9.801165e+01         9.670183e+01         5.032233e-01
          10         9.680918e+01         9.671256e+01         4.530154e-01
          11         9.342906e+01         9.641406e+01         5.006077e-01
          12         9.369200e+01         9.618723e+01         5.076891e-01
          13         9.555106e+01         9.613829e+01         4.709886e-01
          14         9.731882e+01         9.622261e+01         4.448310e-01
          15         9.805094e+01         9.634450e+01         4.315520e-01
          16         9.823729e+01         9.646280e+01         4.204820e-01
          17         9.918765e+01         9.662309e+01         4.252015e-01
          18         9.289459e+01         9.641595e+01         4.492089e-01
          19         9.563435e+01         9.637481e+01         4.274457e-01
          20         9.579435e+01         9.634579e+01         4.070576e-01
