    # BLOCK:          ACTUAL_T:              T_AVE:              ERROR:
         118         1.210185e+00         1.216130e+00         2.424125e-03
         119         1.202898e+00         1.216019e+00         2.406303e-03
         120         1.231536e+00         1.216148e+00         2.389723e-03
         121         1.205469e+00         1.216060e+00         2.371602e-03
         122         1.199841e+00         1.215927e+00         2.355885e-03
         123         1.150995e+00         1.215399e+00         2.395147e-03
         124         1.176328e+00         1.215084e+00         2.396466e-03
         125         1.200797e+00         1.214969e+00         2.380018e-03
         126         1.162512e+00         1.214553e+00         2.397267e-03
         127         1.199399e+00         1.214434e+00         2.381358e-03
         128         1.197530e+00         1.214302e+00         2.366413e-03
         129         1.200917e+00         1.214198e+00         2.350342e-03
         130         1.226472e+00         1.214292e+00         2.334158e-03
         131         1.210732e+00         1.214265e+00         2.316498e-03
         132         1.193925e+00         1.214111e+00         2.304069e-03
         133         1.166921e+00         1.213756e+00         2.313903e-03
         134         1.142157e+00         1.213222e+00         2.357521e-03
         135         1.174280e+00         1.212934e+00         2.357640e-03
         136         1.184654e+00         1.212726e+00         2.349456e-03
         137         1.199551e+00         1.212629e+00         2.334274e-03
         138         1.185538e+00         1.212433e+00         2.325599e-03
         139         1.164250e+00         1.212087e+00         2.334559e-03
         140         1.157262e+00         1.211695e+00         2.350498e-03
         141         1.236176e+00         1.211869e+00         2.340231e-03
         142         1.231307e+00         1.212005e+00         2.327751e-03
         143         1.218009e+00         1.212047e+00         2.311852e-03
         144         1.199067e+00         1.211957e+00         2.297554e-03
         145         1.216977e+00         1.211992e+00         2.281969e-03
         146         1.211807e+00         1.211991e+00         2.266340e-03
         147         1.180648e+00         1.211777e+00         2.260930e-03
         148         1.184729e+00         1.211595e+00         2.253028e-03
         149         1.187159e+00         1.211431e+00         2.243868e-03
         150         1.192426e+00         1.211304e+00         2.232483e-03
         151         1.244920e+00         1.211527e+00         2.228771e-03
         152         1.268218e+00         1.211900e+00         2.245098e-03
         153         1.243324e+00         1.212105e+00         2.239799e-03
         154         1.291032e+00         1.212617e+00         2.283139e-03
         155         1.260377e+00         1.212926e+00         2.289106e-03
         156         1.227945e+00         1.213022e+00         2.276456e-03
         157         1.234961e+00         1.213162e+00         2.266242e-03
         158         1.237698e+00         1.213317e+00         2.257213e-03
         159         1.210878e+00         1.213302e+00         2.243069e-03
         160         1.210939e+00         1.213287e+00         2.229098e-03
         161         1.204406e+00         1.213232e+00         2.215935e-03
         162         1.237080e+00         1.213379e+00         2.207141e-03
         163         1.252489e+00         1.213619e+00         2.206604e-03
         164         1.240624e+00         1.213783e+00         2.199284e-03
         165         1.220728e+00         1.213826e+00         2.186358e-03
         166         1.205912e+00         1.213778e+00         2.173707e-03
         167         1.235541e+00         1.213908e+00         2.164593e-03
         168         1.222508e+00         1.213959e+00         2.152314e-03
         169         1.214523e+00         1.213963e+00         2.139581e-03
         170         1.222726e+00         1.214014e+00         2.127616e-03
         171         1.222052e+00         1.214061e+00         2.115693e-03
         172         1.189137e+00         1.213916e+00         2.108349e-03
         173         1.162226e+00         1.213618e+00         2.117228e-03
         174         1.188571e+00         1.213474e+00         2.109948e-03
         175         1.201893e+00         1.213407e+00         2.098928e-03
         176         1.207593e+00         1.213374e+00         2.087263e-03
         177         1.196172e+00         1.213277e+00         2.077732e-03
         178         1.173948e+00         1.213056e+00         2.077774e-03
         179         1.169868e+00         1.212815e+00         2.080128e-03
         180         1.201602e+00         1.212753e+00         2.069504e-03
         181         1.211998e+00         1.212749e+00         2.058074e-03
         182         1.211249e+00         1.212740e+00         2.046783e-03
         183         1.207524e+00         1.212712e+00         2.035797e-03
         184         1.176811e+00         1.212517e+00         2.034061e-03
         185         1.214706e+00         1.212528e+00         2.023100e-03
         186         1.245023e+00         1.212703e+00         2.019752e-03
         187         1.220635e+00         1.212746e+00         2.009397e-03
         188         1.226750e+00         1.212820e+00         2.000089e-03
         189         1.236653e+00         1.212946e+00         1.993478e-03
         190         1.208238e+00         1.212921e+00         1.983140e-03
         191         1.241723e+00         1.213072e+00         1.978482e-03
         192         1.236048e+00         1.213192e+00         1.971793e-03
         193         1.229834e+00         1.213278e+00         1.963461e-03
         194         1.224219e+00         1.213335e+00         1.954150e-03
         195         1.229233e+00         1.213416e+00         1.945828e-03
         196         1.260974e+00         1.213659e+00         1.950971e-03
         197         1.213332e+00         1.213657e+00         1.941068e-03
         198         1.166727e+00         1.213420e+00         1.945682e-03
         199         1.175109e+00         1.213227e+00         1.945405e-03
         200         1.201259e+00         1.213168e+00         1.936599e-03
