    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
         118         1.406713e+00         1.406786e+00         6.966146e-06
         119         1.406821e+00         1.406786e+00         6.913859e-06
         120         1.406859e+00         1.406787e+00         6.883191e-06
         121         1.406880e+00         1.406787e+00         6.869116e-06
         122         1.406980e+00         1.406789e+00         6.991760e-06
         123         1.406846e+00         1.406789e+00         6.950033e-06
         124         1.406868e+00         1.406790e+00         6.922729e-06
         125         1.406793e+00         1.406790e+00         6.867380e-06
         126         1.406744e+00         1.406790e+00         6.822775e-06
         127         1.406750e+00         1.406789e+00         6.776119e-06
         128         1.406771e+00         1.406789e+00         6.724787e-06
         129         1.406752e+00         1.406789e+00         6.678958e-06
         130         1.406721e+00         1.406788e+00         6.647918e-06
         131         1.406872e+00         1.406789e+00         6.627514e-06
         132         1.406869e+00         1.406790e+00         6.604762e-06
         133         1.406881e+00         1.406790e+00         6.590423e-06
         134         1.406852e+00         1.406791e+00         6.557238e-06
         135         1.406859e+00         1.406791e+00         6.527867e-06
         136         1.406841e+00         1.406792e+00         6.490044e-06
         137         1.406784e+00         1.406792e+00         6.442936e-06
         138         1.406762e+00         1.406791e+00         6.399813e-06
         139         1.406771e+00         1.406791e+00         6.355531e-06
         140         1.406817e+00         1.406791e+00         6.312735e-06
         141         1.406848e+00         1.406792e+00         6.280494e-06
         142         1.406860e+00         1.406792e+00         6.254444e-06
         143         1.406833e+00         1.406793e+00         6.217318e-06
         144         1.406737e+00         1.406792e+00         6.186195e-06
         145         1.406679e+00         1.406791e+00         6.192467e-06
         146         1.406727e+00         1.406791e+00         6.165671e-06
         147         1.406791e+00         1.406791e+00         6.123729e-06
         148         1.406797e+00         1.406791e+00         6.082482e-06
         149         1.406831e+00         1.406791e+00         6.047437e-06
         150         1.406725e+00         1.406791e+00         6.023470e-06
         151         1.406675e+00         1.406790e+00         6.032678e-06
         152         1.406738e+00         1.406790e+00         6.002700e-06
         153         1.406681e+00         1.406789e+00         6.005392e-06
         154         1.406626e+00         1.406788e+00         6.058945e-06
         155         1.406653e+00         1.406787e+00         6.081722e-06
         156         1.406651e+00         1.406786e+00         6.104985e-06
         157         1.406617e+00         1.406785e+00         6.160179e-06
         158         1.406703e+00         1.406785e+00         6.142910e-06
         159         1.406560e+00         1.406783e+00         6.264545e-06
         160         1.406603e+00         1.406782e+00         6.326017e-06
         161         1.406704e+00         1.406782e+00         6.305361e-06
         162         1.406806e+00         1.406782e+00         6.268221e-06
         163         1.406795e+00         1.406782e+00         6.230302e-06
         164         1.406678e+00         1.406781e+00         6.224261e-06
         165         1.406648e+00         1.406780e+00         6.238374e-06
         166         1.406780e+00         1.406780e+00         6.200794e-06
         167         1.406792e+00         1.406780e+00         6.164064e-06
