    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         9.971289e+00         9.971289e+00         0.000000e+00
           2         9.767102e+00         9.869196e+00         7.219090e-02
           3         1.002164e+01         9.920009e+00         6.354177e-02
           4         9.986903e+00         9.936732e+00         4.980847e-02
           5         9.970600e+00         9.943506e+00         4.030470e-02
           6         9.711867e+00         9.904899e+00         4.868428e-02
           7         9.876503e+00         9.900843e+00         4.189805e-02
           8         9.796627e+00         9.887816e+00         3.863294e-02
           9         9.737328e+00         9.871095e+00         3.778603e-02
          10         9.917737e+00         9.875759e+00         3.429409e-02
          11         9.975197e+00         9.884799e+00         3.234593e-02
          12         1.000284e+01         9.894635e+00         3.111017e-02
          13         1.012713e+01         9.912520e+00         3.346507e-02
          14         9.953222e+00         9.915427e+00         3.120074e-02
          15         9.687606e+00         9.900239e+00         3.260850e-02
          16         9.905625e+00         9.900575e+00         3.057221e-02
          17         9.993989e+00         9.906070e+00         2.926350e-02
          18         9.872368e+00         9.904198e+00         2.769758e-02
          19         9.715976e+00         9.894292e+00         2.795533e-02
          20         9.804625e+00         9.889808e+00         2.691466e-02
