    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.603457e+01         1.603457e+01         0.000000e+00
           2         1.575988e+01         1.589722e+01         9.711919e-02
           3         1.650209e+01         1.609885e+01         1.768993e-01
           4         1.633021e+01         1.615669e+01         1.418153e-01
           5         1.595886e+01         1.611712e+01         1.188436e-01
           6         1.597310e+01         1.609312e+01         1.014314e-01
           7         1.589637e+01         1.606501e+01         9.075173e-02
           8         1.599150e+01         1.605582e+01         7.987156e-02
           9         1.643368e+01         1.609781e+01         8.128565e-02
          10         1.602589e+01         1.609061e+01         7.347453e-02
          11         1.601532e+01         1.608377e+01         6.711311e-02
          12         1.621943e+01         1.609507e+01         6.246527e-02
          13         1.618681e+01         1.610213e+01         5.805744e-02
          14         1.624609e+01         1.611241e+01         5.481350e-02
          15         1.578052e+01         1.609029e+01         5.544542e-02
          16         1.631010e+01         1.610403e+01         5.365512e-02
          17         1.594064e+01         1.609442e+01         5.135247e-02
          18         1.610610e+01         1.609506e+01         4.850366e-02
          19         1.547543e+01         1.606245e+01         5.584848e-02
          20         1.616805e+01         1.606773e+01         5.330504e-02
