    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.933391e+01         1.933391e+01         0.000000e+00
           2         1.868461e+01         1.900926e+01         2.295610e-01
           3         1.922034e+01         1.907962e+01         1.634681e-01
           4         1.907884e+01         1.907942e+01         1.226012e-01
           5         1.886412e+01         1.903636e+01         1.053720e-01
           6         1.877960e+01         1.899357e+01         9.610763e-02
           7         1.846665e+01         1.891830e+01         1.079022e-01
           8         1.927461e+01         1.896283e+01         1.031983e-01
           9         1.943496e+01         1.901529e+01         1.042152e-01
          10         1.907846e+01         1.902161e+01         9.398492e-02
          11         1.874682e+01         1.899663e+01         8.869874e-02
          12         1.894965e+01         1.899271e+01         8.139353e-02
          13         1.898479e+01         1.899210e+01         7.513477e-02
          14         1.910240e+01         1.899998e+01         7.017984e-02
          15         1.865064e+01         1.897669e+01         6.925778e-02
          16         1.910198e+01         1.898452e+01         6.537033e-02
          17         1.871029e+01         1.896839e+01         6.348419e-02
          18         1.944100e+01         1.899465e+01         6.516099e-02
          19         1.848183e+01         1.896766e+01         6.708883e-02
          20         1.851202e+01         1.894488e+01         6.749171e-02
