    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.484055e+01         1.484055e+01         0.000000e+00
           2         9.951159e+00         1.239586e+01         1.728662e+00
           3         1.446434e+01         1.308535e+01         1.282597e+00
           4         1.246288e+01         1.292973e+01         9.713425e-01
           5         1.274590e+01         1.289297e+01         7.777695e-01
           6         1.394671e+01         1.306859e+01         6.676754e-01
           7         1.120363e+01         1.280217e+01         6.231857e-01
           8         1.121434e+01         1.260369e+01         5.760277e-01
           9         1.072628e+01         1.239509e+01         5.484967e-01
          10         1.831295e+01         1.298687e+01         7.475806e-01
          11         1.191701e+01         1.288961e+01         6.859163e-01
          12         1.507532e+01         1.307176e+01         6.524920e-01
          13         1.938267e+01         1.355721e+01         7.617770e-01
          14         1.497257e+01         1.365831e+01         7.140413e-01
          15         1.345139e+01         1.364451e+01         6.665718e-01
          16         1.189252e+01         1.353501e+01         6.338412e-01
          17         1.361383e+01         1.353965e+01         5.965733e-01
          18         1.334384e+01         1.352877e+01         5.635296e-01
          19         1.568263e+01         1.364213e+01         5.451528e-01
          20         1.029921e+01         1.347499e+01         5.429147e-01
