    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.477118e+01         1.477118e+01         0.000000e+00
           2         1.475391e+01         1.476255e+01         6.107805e-03
           3         1.509379e+01         1.487296e+01         9.024585e-02
           4         1.524875e+01         1.496691e+01         1.058345e-01
           5         1.483161e+01         1.493985e+01         8.805920e-02
           6         1.469628e+01         1.489925e+01         8.220885e-02
           7         1.473996e+01         1.487650e+01         7.354686e-02
           8         1.479688e+01         1.486655e+01         6.502339e-02
           9         1.494216e+01         1.487495e+01         5.833881e-02
          10         1.465394e+01         1.485285e+01         5.653631e-02
          11         1.495280e+01         1.486193e+01         5.212169e-02
          12         1.502427e+01         1.487546e+01         4.950273e-02
          13         1.495104e+01         1.488127e+01         4.603494e-02
          14         1.470304e+01         1.486854e+01         4.447228e-02
          15         1.460418e+01         1.485092e+01         4.486402e-02
          16         1.494517e+01         1.485681e+01         4.244500e-02
          17         1.469983e+01         1.484758e+01         4.094040e-02
          18         1.487883e+01         1.484931e+01         3.870274e-02
          19         1.434742e+01         1.482290e+01         4.478191e-02
          20         1.488603e+01         1.482605e+01         4.265393e-02
