    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         4.547200e+00         4.547200e+00         0.000000e+00
           2         4.839800e+00         4.693500e+00         1.034497e-01
           3         3.868900e+00         4.418633e+00         2.347854e-01
           4         3.671700e+00         4.231900e+00         2.390802e-01
           5         3.643200e+00         4.114160e+00         2.183395e-01
           6         4.152500e+00         4.120550e+00         1.820431e-01
           7         4.695600e+00         4.202700e+00         1.735859e-01
           8         4.994700e+00         4.301700e+00         1.778925e-01
           9         3.284300e+00         4.188656e+00         1.906913e-01
          10         4.785400e+00         4.248330e+00         1.807183e-01
          11         3.379300e+00         4.169327e+00         1.807347e-01
          12         4.782200e+00         4.220400e+00         1.727390e-01
          13         4.189000e+00         4.217985e+00         1.594683e-01
          14         4.471400e+00         4.236086e+00         1.491014e-01
          15         3.821300e+00         4.208433e+00         1.417024e-01
          16         4.824200e+00         4.246919e+00         1.379732e-01
          17         4.551000e+00         4.264806e+00         1.310115e-01
          18         4.363800e+00         4.270306e+00         1.238484e-01
          19         4.631700e+00         4.289326e+00         1.187817e-01
          20         4.440800e+00         4.296900e+00         1.130838e-01
