    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         1.021850e+01         1.021850e+01         0.000000e+00
           2         1.103420e+01         1.062635e+01         2.883935e-01
           3         8.540800e+00         9.931167e+00         5.992924e-01
           4         1.066970e+01         1.011580e+01         4.770637e-01
           5         8.553900e+00         9.803420e+00         4.729931e-01
           6         1.138230e+01         1.006657e+01         4.615928e-01
           7         1.124700e+01         1.023520e+01         4.253404e-01
           8         9.405900e+00         1.013154e+01         3.845976e-01
           9         9.613000e+00         1.007392e+01         3.461532e-01
          10         9.894800e+00         1.005601e+01         3.120010e-01
          11         1.058580e+01         1.010417e+01         2.873306e-01
          12         9.655600e+00         1.006679e+01         2.658068e-01
          13         9.869100e+00         1.005158e+01         2.457948e-01
          14         9.480700e+00         1.001081e+01         2.315958e-01
          15         1.111380e+01         1.008434e+01         2.275304e-01
          16         9.829200e+00         1.006839e+01         2.138678e-01
          17         8.761000e+00         9.991488e+00         2.146698e-01
          18         9.727100e+00         9.976800e+00         2.032456e-01
          19         1.044610e+01         1.000150e+01         1.940435e-01
          20         9.706400e+00         9.986745e+00         1.849015e-01
