    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         1.795300e+00         1.795300e+00         0.000000e+00
           2         2.114800e+00         1.955050e+00         1.129603e-01
           3         2.095400e+00         2.001833e+00         8.444078e-02
           4         1.489700e+00         1.873800e+00         1.276917e-01
           5         1.317200e+00         1.762480e+00         1.426500e-01
           6         1.576800e+00         1.731533e+00         1.221857e-01
           7         1.167700e+00         1.650986e+00         1.285674e-01
           8         1.681800e+00         1.654838e+00         1.125541e-01
           9         1.954200e+00         1.688100e+00         1.048479e-01
          10         1.822700e+00         1.701560e+00         9.522319e-02
          11         1.907300e+00         1.720264e+00         8.838432e-02
          12         1.683300e+00         1.717183e+00         8.107262e-02
          13         1.555900e+00         1.704777e+00         7.577959e-02
          14         1.885700e+00         1.717700e+00         7.146018e-02
          15         1.717900e+00         1.717713e+00         6.669617e-02
          16         1.554600e+00         1.707519e+00         6.330199e-02
          17         1.516600e+00         1.696288e+00         6.056637e-02
          18         1.967900e+00         1.711378e+00         5.905137e-02
          19         1.565400e+00         1.703695e+00         5.644100e-02
          20         1.706600e+00         1.703840e+00         5.361914e-02
