    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         1.597400e+00         1.597400e+00         0.000000e+00
           2         1.605800e+00         1.601600e+00         2.969848e-03
           3         1.550600e+00         1.584600e+00         1.402094e-02
           4         1.310800e+00         1.516150e+00         6.020492e-02
           5         9.512000e-01         1.403160e+00         1.119516e-01
           6         1.346900e+00         1.393783e+00         9.368484e-02
           7         1.374700e+00         1.391057e+00         8.034095e-02
           8         1.068900e+00         1.350788e+00         7.975458e-02
           9         1.572400e+00         1.375411e+00         7.459735e-02
          10         1.560500e+00         1.393920e+00         6.939583e-02
          11         1.712500e+00         1.422882e+00         6.886594e-02
          12         1.535200e+00         1.432242e+00         6.376001e-02
          13         1.335400e+00         1.424792e+00         5.928896e-02
          14         1.774600e+00         1.449779e+00         6.008882e-02
          15         1.292600e+00         1.439300e+00         5.698923e-02
          16         1.922600e+00         1.469506e+00         6.090877e-02
          17         1.711700e+00         1.483753e+00         5.896854e-02
          18         1.777700e+00         1.500083e+00         5.790960e-02
          19         1.853400e+00         1.518679e+00         5.777028e-02
          20         1.598100e+00         1.522650e+00         5.501808e-02
