    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         4.020700e+00         4.020700e+00         0.000000e+00
           2         6.595400e+00         5.308050e+00         9.102939e-01
           3         5.529600e+00         5.381900e+00         6.098509e-01
           4         5.485800e+00         5.407875e+00         4.579410e-01
           5         5.354300e+00         5.397160e+00         3.664781e-01
           6         5.369700e+00         5.392583e+00         3.054270e-01
           7         6.302100e+00         5.522514e+00         2.881089e-01
           8         5.931600e+00         5.573650e+00         2.565931e-01
           9         5.851200e+00         5.604489e+00         2.299285e-01
          10         6.367000e+00         5.680740e+00         2.192149e-01
          11         4.514700e+00         5.574736e+00         2.234508e-01
          12         5.475300e+00         5.566450e+00         2.049835e-01
          13         5.037300e+00         5.525746e+00         1.932146e-01
          14         6.080800e+00         5.565393e+00         1.834361e-01
          15         5.279800e+00         5.546353e+00         1.721923e-01
          16         5.613300e+00         5.550537e+00         1.614811e-01
          17         4.969800e+00         5.516376e+00         1.555536e-01
          18         5.636700e+00         5.523061e+00         1.470553e-01
          19         4.936800e+00         5.492205e+00         1.425159e-01
          20         5.952200e+00         5.515205e+00         1.372335e-01
