    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         2.129000e+00         2.129000e+00         0.000000e+00
           2         1.927200e+00         2.028100e+00         7.134707e-02
           3         2.178700e+00         2.078300e+00         6.278876e-02
           4         2.026600e+00         2.065375e+00         4.840359e-02
           5         1.503800e+00         1.953060e+00         1.076624e-01
           6         1.918300e+00         1.947267e+00         8.987439e-02
           7         1.506400e+00         1.884286e+00         9.661451e-02
           8         2.114700e+00         1.913088e+00         8.872695e-02
           9         2.098900e+00         1.933733e+00         8.123493e-02
          10         1.961200e+00         1.936480e+00         7.315786e-02
          11         1.762900e+00         1.920700e+00         6.818777e-02
          12         1.639400e+00         1.897258e+00         6.641273e-02
          13         1.936800e+00         1.900300e+00         6.137367e-02
          14         1.974000e+00         1.905564e+00         5.721516e-02
          15         1.736100e+00         1.894267e+00         5.450481e-02
          16         2.240300e+00         1.915894e+00         5.522255e-02
          17         1.749700e+00         1.906118e+00         5.283241e-02
          18         1.714200e+00         1.895456e+00         5.096178e-02
          19         2.191400e+00         1.911032e+00         5.060397e-02
          20         1.989200e+00         1.914940e+00         4.822447e-02
