    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -9.366240e-01        -9.366240e-01         0.000000e+00
           2        -9.311680e-01        -9.338960e-01         1.928987e-03
           3        -9.327840e-01        -9.335253e-01         1.321125e-03
           4        -9.373360e-01        -9.344780e-01         1.289361e-03
           5        -9.395080e-01        -9.354840e-01         1.368794e-03
           6        -9.293320e-01        -9.344587e-01         1.475534e-03
           7        -9.363720e-01        -9.347320e-01         1.289811e-03
           8        -9.374200e-01        -9.350680e-01         1.171532e-03
           9        -9.314440e-01        -9.346653e-01         1.108404e-03
          10        -9.311680e-01        -9.343156e-01         1.051292e-03
          11        -9.400960e-01        -9.348411e-01         1.079091e-03
          12        -9.346840e-01        -9.348280e-01         9.892465e-04
          13        -9.311800e-01        -9.345474e-01         9.521196e-04
          14        -9.360800e-01        -9.346569e-01         8.903823e-04
          15        -9.378680e-01        -9.348709e-01         8.563722e-04
          16        -9.341800e-01        -9.348277e-01         8.039370e-04
          17        -9.366040e-01        -9.349322e-01         7.634062e-04
          18        -9.290160e-01        -9.346036e-01         7.885823e-04
          19        -9.350240e-01        -9.346257e-01         7.473884e-04
          20        -9.378280e-01        -9.347858e-01         7.269678e-04
