    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -5.264840e-01        -5.264840e-01         0.000000e+00
           2        -5.297160e-01        -5.281000e-01         1.142685e-03
           3        -5.281680e-01        -5.281227e-01         7.620145e-04
           4        -5.255800e-01        -5.274870e-01         7.935230e-04
           5        -5.272680e-01        -5.274432e-01         6.360261e-04
           6        -5.270000e-01        -5.273693e-01         5.342939e-04
           7        -5.278080e-01        -5.274320e-01         4.616266e-04
           8        -5.263000e-01        -5.272905e-01         4.250570e-04
           9        -5.291160e-01        -5.274933e-01         4.234672e-04
          10        -5.276320e-01        -5.275072e-01         3.813474e-04
          11        -5.294360e-01        -5.276825e-01         3.848865e-04
          12        -5.292200e-01        -5.278107e-01         3.735289e-04
          13        -5.298120e-01        -5.279646e-01         3.751817e-04
          14        -5.304880e-01        -5.281449e-01         3.892780e-04
          15        -5.295160e-01        -5.282363e-01         3.739044e-04
          16        -5.293680e-01        -5.283070e-01         3.571632e-04
          17        -5.293600e-01        -5.283689e-01         3.414825e-04
          18        -5.276240e-01        -5.283276e-01         3.250094e-04
          19        -5.281800e-01        -5.283198e-01         3.079964e-04
          20        -5.272800e-01        -5.282678e-01         2.969520e-04
