    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -7.186240e-01        -7.186240e-01         0.000000e+00
           2        -7.218280e-01        -7.202260e-01         1.132785e-03
           3        -7.188800e-01        -7.197773e-01         8.393528e-04
           4        -7.194920e-01        -7.197060e-01         6.325385e-04
           5        -7.204920e-01        -7.198632e-01         5.252016e-04
           6        -7.212040e-01        -7.200867e-01         4.828744e-04
           7        -7.210080e-01        -7.202183e-01         4.314576e-04
           8        -7.232560e-01        -7.205980e-01         5.183488e-04
           9        -7.193920e-01        -7.204640e-01         4.777610e-04
          10        -7.219160e-01        -7.206092e-01         4.515105e-04
          11        -7.220720e-01        -7.207422e-01         4.296013e-04
          12        -7.188840e-01        -7.205873e-01         4.207841e-04
          13        -7.194040e-01        -7.204963e-01         3.981399e-04
          14        -7.224680e-01        -7.206371e-01         3.938234e-04
          15        -7.205840e-01        -7.206336e-01         3.675845e-04
          16        -7.211880e-01        -7.206683e-01         3.462397e-04
          17        -7.205160e-01        -7.206593e-01         3.259885e-04
          18        -7.194080e-01        -7.205898e-01         3.152030e-04
          19        -7.181120e-01        -7.204594e-01         3.244710e-04
          20        -7.238560e-01        -7.206292e-01         3.498816e-04
