    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.697400e+01         1.697400e+01         0.000000e+00
           2         1.857904e+01         1.777652e+01         5.674676e-01
           3         1.556422e+01         1.703909e+01         7.110947e-01
           4         1.642357e+01         1.688521e+01         5.497183e-01
           5         1.424701e+01         1.635757e+01         6.450768e-01
           6         1.429566e+01         1.601392e+01         6.224051e-01
           7         1.640384e+01         1.606962e+01         5.359769e-01
           8         1.703905e+01         1.619080e+01         4.824840e-01
           9         1.685051e+01         1.626410e+01         4.344071e-01
          10         1.503821e+01         1.614151e+01         4.078971e-01
          11         1.389580e+01         1.593736e+01         4.188012e-01
          12         1.326806e+01         1.571491e+01         4.390182e-01
          13         1.833777e+01         1.591667e+01         4.492222e-01
          14         1.583325e+01         1.591071e+01         4.171744e-01
          15         1.844127e+01         1.607942e+01         4.220982e-01
          16         1.586195e+01         1.606582e+01         3.959358e-01
          17         1.682377e+01         1.611041e+01         3.751473e-01
          18         1.718167e+01         1.616992e+01         3.589955e-01
          19         1.468895e+01         1.609198e+01         3.484603e-01
          20         1.925696e+01         1.625023e+01         3.652072e-01
