    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.453848e+01         1.453848e+01         0.000000e+00
           2         1.475482e+01         1.464665e+01         7.648475e-02
           3         1.501143e+01         1.476824e+01         1.116097e-01
           4         1.470196e+01         1.475167e+01         8.492860e-02
           5         1.497524e+01         1.479639e+01         7.883992e-02
           6         1.460593e+01         1.476464e+01         7.180642e-02
           7         1.461210e+01         1.474285e+01         6.477095e-02
           8         1.525890e+01         1.480736e+01         8.278195e-02
           9         1.458689e+01         1.478286e+01         7.712312e-02
          10         1.436821e+01         1.474140e+01         7.978268e-02
          11         1.479276e+01         1.474607e+01         7.266623e-02
          12         1.449790e+01         1.472539e+01         6.949112e-02
          13         1.463075e+01         1.471811e+01         6.452581e-02
          14         1.445417e+01         1.469925e+01         6.261035e-02
          15         1.499780e+01         1.471916e+01         6.151854e-02
          16         1.479883e+01         1.472414e+01         5.787479e-02
          17         1.458592e+01         1.471601e+01         5.503851e-02
          18         1.485123e+01         1.472352e+01         5.249103e-02
          19         1.490312e+01         1.473297e+01         5.057231e-02
          20         1.471017e+01         1.473183e+01         4.805654e-02
