    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.036312e+01         1.036312e+01         0.000000e+00
           2         1.076734e+01         1.056523e+01         1.429127e-01
           3         1.066985e+01         1.060011e+01         9.943903e-02
           4         1.060044e+01         1.060019e+01         7.457931e-02
           5         1.073521e+01         1.062719e+01         6.436702e-02
           6         1.058630e+01         1.062038e+01         5.399883e-02
           7         1.076294e+01         1.064074e+01         4.997799e-02
           8         1.083003e+01         1.066441e+01         4.901279e-02
           9         1.064702e+01         1.066247e+01         4.360499e-02
          10         1.054443e+01         1.065067e+01         4.081104e-02
          11         1.050970e+01         1.063785e+01         3.906120e-02
          12         1.062512e+01         1.063679e+01         3.582050e-02
          13         1.034918e+01         1.061467e+01         3.930822e-02
          14         1.072984e+01         1.062289e+01         3.735134e-02
          15         1.082408e+01         1.063631e+01         3.719137e-02
          16         1.062514e+01         1.063561e+01         3.487346e-02
          17         1.064737e+01         1.063630e+01         3.282894e-02
          18         1.049282e+01         1.062833e+01         3.195817e-02
          19         1.079221e+01         1.063695e+01         3.141861e-02
          20         1.058074e+01         1.063414e+01         2.997313e-02
